ALTER TABLE
ALTER TABLE
ALTER TABLE
BEGIN
 id  |  make  | model | year | license_plate 
-----+--------+-------+------+---------------
   1 | Toyota | Camry | 2009 | F76Ik59s
 616 | Toyota | Camry | 1993 | 129P5T
(2 rows)

SELECT 533
ALTER TABLE
SELECT 942
ALTER TABLE
SELECT 942
DROP TABLE
ALTER TABLE
SELECT 1000
DROP TABLE
ALTER TABLE
COMMIT
  id  | edition_id | license_plate 
------+------------+---------------
    1 |        452 | F76Ik59s
    2 |        786 | euJs5ka9j2Em
    3 |        497 | DiJxKPfj6m
    4 |        694 | xmxKIzk9lJgp
    5 |         95 | Cgwi1Oh
    6 |        689 | 8gTpj0uq5
    7 |        677 | vmPMsZWCywIr
    8 |        534 | TOR2iZcVFe14
    9 |        686 | fZw32L2
   10 |         78 | WdymAd7FZsk
   11 |        165 | B8eHuPj
   12 |        811 | rhr6acXmIo88
   13 |        627 | 4MiQeXTKh
   14 |         17 | P4qzT2qwsh9
   15 |        218 | sxwfvw
   16 |        654 | y8W5k7VJwo
   17 |        767 | xc0awjqwAl
   18 |        762 | 12KSaKof5blQ
   19 |         84 | BQRTCl
   20 |        936 | 2k9kNnTb
   21 |        476 | hcvZzUlB2Rn
   22 |        383 | agLd1B01
   23 |        269 | ZAOpOb
   24 |        707 | b9IYtCxnR6M
   25 |        185 | 805ixlFj
   26 |        764 | qERsbFOv
   27 |        800 | 1o7qCr0GD
   28 |        510 | DWhTJcRD
   29 |        207 | eOHU0kpW
   30 |        650 | 0z6uVX6Z
   31 |        925 | ADvOCbY
   32 |        748 | 0eYe06
   33 |        833 | 4DXuj840sOLg
   34 |        884 | EHl9dwzLc5CO
   35 |        516 | atTV5unnD
   36 |        395 | EJOByOK7J
   37 |        453 | SIVuBfcZ
   38 |        216 | bv4FoPF
   39 |        839 | UWEncWGX
   40 |        559 | lbKiiv2ROOu
   41 |        247 | p1XzSS
   42 |        518 | uWg3ggB
   43 |        926 | JBqFMDiqc
   44 |        644 | GDz5CJB0JTlt
   45 |        760 | 5dk7zhwo
   46 |        318 | cMudJ7LY7
   47 |        690 | zAKHN7
   48 |        205 | RHFXVz3WpAs
   49 |        367 | HzT4uH
   50 |        594 | nNMqHRxr
   51 |        828 | CmgTpE
   52 |        498 | eyBIWk
   53 |        616 | SWhSOI
   54 |        334 | wWjhIWN8Q
   55 |        859 | gagtpSxc
