driver_id,vehicle_id,notes
1,1,driver can own more than one car
1,2,
2,3,
3,3,same car can be co-owned by multiple drivers
204,65,Start random number generation only above 5 to nail some specific scenarios before that
170,424,
956,554,
829,649,
628,388,
862,974,
845,482,
282,514,
173,514,
450,489,
976,679,
186,653,
5,766,
774,198,
853,232,
631,979,
755,677,
25,498,
350,828,
116,196,
914,896,
780,248,
269,981,
111,257,
50,1002,
237,929,
239,491,
125,67,
944,467,
301,7,
174,533,
46,890,
992,271,
441,52,
770,995,
804,129,
468,935,
478,422,
750,948,
630,446,
508,957,
705,605,
852,371,
458,387,
895,927,
10,503,
756,520,
243,979,
1004,803,
904,248,
443,561,
241,966,
501,120,
616,358,
702,350,
526,650,
652,124,
676,298,
750,484,
292,502,
318,90,
624,762,
208,16,
708,11,
12,330,
775,254,
876,439,
378,440,
592,635,
193,761,
60,845,
683,444,
454,171,
283,611,
403,364,
537,740,
309,68,
663,813,
451,279,
351,262,
907,210,
221,452,
424,437,
231,502,
287,990,
533,961,
919,837,
703,973,
421,13,
24,326,
509,526,
494,989,
331,27,
567,545,
472,179,
162,200,
42,563,
398,916,
114,990,
594,572,
957,47,
532,947,
410,765,
683,764,
509,396,
66,988,
939,324,
690,75,
186,339,
62,868,
333,615,
101,426,
268,967,
878,128,
714,152,
999,39,
895,281,
151,649,
841,660,
239,790,
291,724,
808,758,
938,66,
965,389,
248,963,
780,115,
430,195,
258,864,
229,419,
331,949,
55,821,
930,14,
675,298,
160,468,
76,934,
779,785,
366,135,
677,503,
569,368,
812,760,
938,94,
125,702,
6,153,
243,199,
899,535,
458,838,
604,236,
285,327,
747,604,
128,62,
171,436,
31,806,
30,837,
189,142,
407,769,
961,584,
453,51,
392,34,
901,522,
842,563,
374,7,
169,323,
284,702,
83,783,
297,617,
668,374,
258,742,
813,47,
188,681,
256,240,
488,590,
215,198,
740,418,
137,665,
571,561,
912,478,
910,303,
13,719,
543,583,
435,660,
343,938,
932,917,
676,711,
60,902,
519,991,
737,855,
507,46,
541,509,
727,441,
792,700,
338,426,
534,38,
212,625,
863,98,
681,533,
748,458,
92,863,
349,307,
361,276,
98,279,
892,649,
249,629,
258,602,
402,864,
801,662,
535,459,
903,91,
410,355,
980,111,
841,511,
414,982,
189,906,
540,155,
625,42,
471,494,
167,162,
32,414,
216,137,
336,587,
349,182,
533,816,
407,378,
108,522,
513,242,
691,291,
503,454,
701,874,
399,208,
328,56,
981,536,
277,848,
198,428,
433,509,
182,478,
83,54,
854,328,
655,971,
683,170,
936,101,
988,152,
646,789,
267,591,
815,648,
454,543,
840,558,
648,402,
295,787,
836,906,
522,450,
362,123,
781,890,
398,737,
292,918,
487,231,
778,297,
298,370,
256,278,
97,722,
660,477,
75,823,
557,914,
610,983,
667,530,
713,694,
78,118,
448,7,
100,174,
808,293,
434,816,
661,296,
938,592,
627,448,
584,684,
429,1004,
345,753,
93,685,
662,409,
597,136,
797,112,
977,721,
895,97,
666,874,
795,793,
845,453,
669,81,
884,350,
393,648,
527,894,
131,641,
354,418,
8,819,
156,750,
891,376,
329,260,
237,683,
60,560,
696,247,
83,874,
651,296,
40,623,
156,529,
39,781,
800,736,
819,113,
883,193,
51,493,
882,959,
698,116,
634,461,
7,584,
815,52,
707,493,
299,535,
157,406,
681,8,
779,785,
854,764,
832,789,
758,406,
739,593,
596,751,
464,271,
620,630,
145,119,
288,141,
61,694,
26,490,
249,823,
32,115,
551,212,
571,389,
643,374,
1000,828,
662,43,
312,410,
