id,make,model,year,license_plate
1,Toyota,Camry,2009,F76Ik59s
2,Honda,Civic,2001,euJs5ka9j2Em
3,Nissan,Maxima,1996,DiJxKPfj6m
4,Pontiac,Firebird Trans Am,1986,xmxKIzk9lJgp
5,Mitsubishi,Galant,1986,Cgwi1Oh
6,Toyota,4Runner,2011,8gTpj0uq5
7,Mitsubishi,L300,1989,vmPMsZWCywIr
8,Chrysler,Voyager,2002,TOR2iZcVFe14
9,Volkswagen,GTI,1987,fZw32L2
10,Ford,Ranger,1995,WdymAd7FZsk
11,Hyundai,Elantra,2008,B8eHuPj
12,Ford,Crown Victoria,1995,rhr6acXmIo88
13,Ford,F250,1995,4MiQeXTKh
14,Chevrolet,Suburban 2500,2010,P4qzT2qwsh9
15,Maserati,Quattroporte,2012,sxwfvw
16,Ford,Taurus,1997,y8W5k7VJwo
17,Mercedes-Benz,G-Class,2007,xc0awjqwAl
18,Chevrolet,Monte Carlo,2007,12KSaKof5blQ
19,Volkswagen,Eurovan,1993,BQRTCl
20,Mercury,Montego,2007,2k9kNnTb
21,Buick,Rendezvous,2002,hcvZzUlB2Rn
22,Audi,A8,2004,agLd1B01
23,Saab,9-3,2006,ZAOpOb
24,Mitsubishi,Outlander Sport,2012,b9IYtCxnR6M
25,Audi,80,1990,805ixlFj
26,Chevrolet,Camaro,1980,qERsbFOv
27,Chevrolet,Suburban 1500,2005,1o7qCr0GD
28,Lincoln,LS,2002,DWhTJcRD
29,Isuzu,Amigo,1992,eOHU0kpW
30,Mercedes-Benz,SLK-Class,2012,0z6uVX6Z
31,Daewoo,Nubira,1999,ADvOCbY
32,Buick,Rainier,2006,0eYe06
33,Chrysler,Pacifica,2007,4DXuj840sOLg
34,Ford,Focus,2002,EHl9dwzLc5CO
35,Ford,Aerostar,1994,atTV5unnD
36,Audi,90,1988,EJOByOK7J
37,Toyota,Corolla,2009,SIVuBfcZ
38,Ford,Mustang,1993,bv4FoPF
39,Audi,riolet,1996,UWEncWGX
40,Cadillac,SRX,2009,lbKiiv2ROOu
41,Toyota,Tundra,2000,p1XzSS
42,Kia,Sorento,2011,uWg3ggB
43,Subaru,Forester,2000,JBqFMDiqc
44,Bentley,Continental,2005,GDz5CJB0JTlt
45,Nissan,Armada,2008,5dk7zhwo
46,Ford,E250,2009,cMudJ7LY7
47,Ford,Taurus,2011,zAKHN7
48,Ford,Expedition,2004,RHFXVz3WpAs
49,Volvo,XC90,2006,HzT4uH
50,Mitsubishi,Mighty Max,1994,nNMqHRxr
51,Suzuki,SJ,1992,CmgTpE
52,Volvo,S40,2007,eyBIWk
53,Nissan,Titan,2006,SWhSOI
54,Audi,Allroad,2005,wWjhIWN8Q
55,GMC,Sonoma,1999,gagtpSxc
56,Volkswagen,Beetle,1965,i9kc6Y
57,Hyundai,Equus,2011,mQ0FjC
58,Mercury,Capri,1991,CAM2o7ZtRTX
59,Toyota,T100,1998,UBNTYx
60,Ford,F-Series,1991,QcERsf
61,Volkswagen,New Beetle,2003,f2RWpLDWOQ6A
62,Ferrari,599 GTB Fiorano,2009,RVGvOG
63,Jeep,Liberty,2010,7ICLxJlVyUZ
64,Ford,Escape,2013,Yw44BfZ
65,Porsche,Boxster,1998,Lw8hpw0QqE
66,Jeep,Grand Cherokee,2012,CDNLHfs
67,Suzuki,Swift,1992,Zn4YiHgY
68,Chevrolet,Corsica,1992,muXlh1tLO
69,Honda,S2000,2007,HEefCzB
70,Mercury,Mountaineer,2004,zJA3MbeFo
71,Dodge,Ram 1500,1994,70FExReemn
72,Toyota,Solara,2007,FZObZrHDCgsJ
73,Dodge,Ram Van 3500,1998,lA0aNMsHqUy
74,GMC,Savana 1500,2011,Zj9JWXxrJmB
75,Pontiac,Montana,2004,Uy0gr2g5Cub
76,Pontiac,LeMans,1990,ydjCI8
77,Lincoln,Navigator,1998,dAv9X3KlAU
78,Mercedes-Benz,SLK-Class,2009,jrXA6fH9h
79,Chevrolet,Malibu,2004,gJrjOAZnqA
80,Lexus,GX,2007,AFCTrZRbbc
81,Volkswagen,Jetta III,1993,U6BgExvOHK
82,Oldsmobile,Ciera,1994,QvOHOV
83,Ford,Explorer,2013,v9KTXsu
84,Hyundai,Excel,1993,kkGAUW6mG
85,Suzuki,Equator,2010,L4a8ej6
86,Hyundai,Sonata,1996,hQkDnpL
87,Mercury,Topaz,1984,uBB4hlHs8jb1
88,Chevrolet,Tahoe,2003,ndHL4Av03S
89,Acura,TL,2008,D7TaHGtWl
90,Saturn,Sky,2008,kxwGHE8Q
91,Pontiac,Fiero,1986,ARf7SIS0v7
92,GMC,Yukon XL 1500,2002,i5emLfjRw1rl
93,Hyundai,Santa Fe,2004,UXAOViRFwd7O
94,Buick,Lucerne,2007,RqSa5d5
95,Mazda,B-Series Plus,2002,8wt2UWJ
96,Panoz,Esperante,2007,oM5Ntq
97,Mitsubishi,Raider,2009,2kN6KFHvn
98,Infiniti,FX,2006,Zn4TN4
99,Toyota,Land Cruiser,1996,8zOAghCQU
100,GMC,Envoy XL,2003,YnWSezUyT
101,Buick,Roadmaster,1991,oVrXTcPk1
102,Infiniti,FX,2012,w0ZANC4r
103,Nissan,Armada,2006,p0so5PdkJ
104,Honda,Ridgeline,2012,iuaV84
